objectid,loc,district,idesigdate1,idesigdate2,ddesigdate,intdesigdate
269,36 St James Ct,SH,,,3/10/1999,
270,37 St James Ct,SH,,,3/10/1999,
271,38 St James Ct,SH,,,3/10/1999,
272,39 St James Ct,SH,,,3/10/1999,
273,40 St James Ct,SH,,,3/10/1999,
274,41 St James Ct,SH,,,3/10/1999,
275,5 St James Ct,SH,,,3/10/1999,
278,8 St James Ct,SH,,,3/10/1999,
279,9 St James Ct,SH,,,3/10/1999,
280,10 St James Ct,SH,,,3/10/1999,
281,11 St James Ct,SH,,,3/10/1999,
282,12 St James Ct,SH,,,3/10/1999,
283,13 St James Ct,SH,,,3/10/1999,
284,14 St James Ct,SH,,,3/10/1999,
285,15 St James Ct,SH,,,3/10/1999,
286,16 St James Ct,SH,,,3/10/1999,
287,17 St James Ct,SH,,,3/10/1999,
288,18 St James Ct,SH,,,3/10/1999,
289,19 St James Ct,SH,,,3/10/1999,
290,20 St James Ct,SH,,,3/10/1999,
291,21 St James Ct,SH,,,3/10/1999,
292,22 St James Ct,SH,,,3/10/1999,
293,23 St James Ct,SH,,,3/10/1999,
294,24 St James Ct,SH,,,3/10/1999,
295,25 St James Ct,SH,,,3/10/1999,
296,26 St James Ct,SH,,,3/10/1999,
297,329 S 2nd St,SH,,,3/10/1999,
298,331 S 2nd St,SH,,,3/10/1999,
299,333 S 2nd St,SH,,,3/10/1999,
300,335 S 2nd St,SH,,,3/10/1999,
301,337 S 2nd St,SH,,,3/10/1999,
302,339 S 2nd St,SH,,,3/10/1999,
303,233 S 6th St,SH,,,3/10/1999,
147,3 N Chris Columbus Blvd,OC,,,12/12/2003,
304,249 S 6th St,SH,,,3/10/1999,
305,233 S 6th St,SH,,,3/10/1999,
306,233 S 6th St,SH,,,3/10/1999,
307,233 S 6th St,SH,,,3/10/1999,
308,233 S 6th St,SH,,,3/10/1999,
309,233 S 6th St,SH,,,3/10/1999,
310,233 S 6th St,SH,,,3/10/1999,
311,233 S 6th St,SH,,,3/10/1999,
312,233 S 6th St,SH,,,3/10/1999,
313,233 S 6th St,SH,,,3/10/1999,
314,233 S 6th St,SH,,,3/10/1999,
315,233 S 6th St,SH,,,3/10/1999,
799,800 Admirals Way,,6/26/1956,,,
316,233 S 6th St,SH,,,3/10/1999,
317,233 S 6th St,SH,,,3/10/1999,
318,233 S 6th St,SH,,,3/10/1999,
319,233 S 6th St,SH,,,3/10/1999,
320,233 S 6th St,SH,,,3/10/1999,
321,233 S 6th St,SH,,,3/10/1999,
322,233 S 6th St,SH,,,3/10/1999,
323,233 S 6th St,SH,,,3/10/1999,
324,233 S 6th St,SH,,,3/10/1999,
141,3 N Chris Columbus Blvd,OC,,,12/12/2003,
142,3 N Chris Columbus Blvd,OC,,,12/12/2003,
143,3 N Chris Columbus Blvd,OC,,,12/12/2003,
144,3 N Chris Columbus Blvd,OC,,,12/12/2003,
145,3 N Chris Columbus Blvd,OC,,,12/12/2003,
146,3 N Chris Columbus Blvd,OC,,,12/12/2003,
148,3 N Chris Columbus Blvd,OC,,,12/12/2003,
149,3 N Chris Columbus Blvd,OC,,,12/12/2003,
150,3 N Chris Columbus Blvd,OC,,,12/12/2003,
151,3 N Chris Columbus Blvd,OC,,,12/12/2003,
152,3 N Chris Columbus Blvd,OC,,,12/12/2003,
153,3 N Chris Columbus Blvd,OC,,,12/12/2003,
154,3 N Chris Columbus Blvd,OC,,,12/12/2003,
155,3 N Chris Columbus Blvd,OC,,,12/12/2003,
156,3 N Chris Columbus Blvd,OC,,,12/12/2003,
157,3 N Chris Columbus Blvd,OC,,,12/12/2003,
158,3 N Chris Columbus Blvd,OC,,,12/12/2003,
159,3 N Chris Columbus Blvd,OC,,,12/12/2003,
160,3 N Chris Columbus Blvd,OC,,,12/12/2003,
161,3 N Chris Columbus Blvd,OC,,,12/12/2003,
162,3 N Chris Columbus Blvd,OC,,,12/12/2003,
163,3 N Chris Columbus Blvd,OC,,,12/12/2003,
164,3 N Chris Columbus Blvd,OC,,,12/12/2003,
165,3 N Chris Columbus Blvd,OC,,,12/12/2003,
166,3 N Chris Columbus Blvd,OC,,,12/12/2003,
167,3 N Chris Columbus Blvd,OC,,,12/12/2003,
168,3 N Chris Columbus Blvd,OC,,,12/12/2003,
800,800 Admirals Way,,6/26/1956,,,
169,3 N Chris Columbus Blvd,OC,,,12/12/2003,
170,3 N Chris Columbus Blvd,OC,,,12/12/2003,
171,3 N Chris Columbus Blvd,OC,,,12/12/2003,
172,3 N Chris Columbus Blvd,OC,,,12/12/2003,
173,3 N Chris Columbus Blvd,OC,,,12/12/2003,
174,3 N Chris Columbus Blvd,OC,,,12/12/2003,
175,3 N Chris Columbus Blvd,OC,,,12/12/2003,
176,3 N Chris Columbus Blvd,OC,,,12/12/2003,
177,3 N Chris Columbus Blvd,OC,,,12/12/2003,
178,3 N Chris Columbus Blvd,OC,,,12/12/2003,
179,3 N Chris Columbus Blvd,OC,,,12/12/2003,
180,3 N Chris Columbus Blvd,OC,,,12/12/2003,
181,3 N Chris Columbus Blvd,OC,,,12/12/2003,
182,3 N Chris Columbus Blvd,OC,,,12/12/2003,
183,3 N Chris Columbus Blvd,OC,,,12/12/2003,
184,3 N Chris Columbus Blvd,OC,,,12/12/2003,
185,3 N Chris Columbus Blvd,OC,,,12/12/2003,
186,3 N Chris Columbus Blvd,OC,,,12/12/2003,
187,3 N Chris Columbus Blvd,OC,,,12/12/2003,
188,3 N Chris Columbus Blvd,OC,,,12/12/2003,
189,3 N Chris Columbus Blvd,OC,,,12/12/2003,
801,800 Admirals Way,,6/26/1956,,,
190,3 N Chris Columbus Blvd,OC,,,12/12/2003,
191,3 N Chris Columbus Blvd,OC,,,12/12/2003,
192,3 N Chris Columbus Blvd,OC,,,12/12/2003,
193,3 N Chris Columbus Blvd,OC,,,12/12/2003,
194,3 N Chris Columbus Blvd,OC,,,12/12/2003,
195,3 N Chris Columbus Blvd,OC,,,12/12/2003,
196,3 N Chris Columbus Blvd,OC,,,12/12/2003,
197,3 N Chris Columbus Blvd,OC,,,12/12/2003,
198,3 N Chris Columbus Blvd,OC,,,12/12/2003,
199,3 N Chris Columbus Blvd,OC,,,12/12/2003,
200,3 N Chris Columbus Blvd,OC,,,12/12/2003,
201,3 N Chris Columbus Blvd,OC,,,12/12/2003,
202,3 N Chris Columbus Blvd,OC,,,12/12/2003,
203,3 N Chris Columbus Blvd,OC,,,12/12/2003,
204,3 N Chris Columbus Blvd,OC,,,12/12/2003,
205,3 N Chris Columbus Blvd,OC,,,12/12/2003,
206,3 N Chris Columbus Blvd,OC,,,12/12/2003,
207,3 N Chris Columbus Blvd,OC,,,12/12/2003,
208,3 N Chris Columbus Blvd,OC,,,12/12/2003,
209,3 N Chris Columbus Blvd,OC,,,12/12/2003,
210,3 N Chris Columbus Blvd,OC,,,12/12/2003,
802,800 Admirals Way,,6/26/1956,,,
211,3 N Chris Columbus Blvd,OC,,,12/12/2003,
212,3 N Chris Columbus Blvd,OC,,,12/12/2003,
213,3 N Chris Columbus Blvd,OC,,,12/12/2003,
214,3 N Chris Columbus Blvd,OC,,,12/12/2003,
215,3 N Chris Columbus Blvd,OC,,,12/12/2003,
216,3 N Chris Columbus Blvd,OC,,,12/12/2003,
217,3 N Chris Columbus Blvd,OC,,,12/12/2003,
218,3 N Chris Columbus Blvd,OC,,,12/12/2003,
472,233 S 6th St,SH,,,3/10/1999,
473,233 S 6th St,SH,,,3/10/1999,
474,233 S 6th St,SH,,,3/10/1999,
475,233 S 6th St,SH,,,3/10/1999,
476,233 S 6th St,SH,,,3/10/1999,
477,233 S 6th St,SH,,,3/10/1999,
478,233 S 6th St,SH,,,3/10/1999,
803,800 Admirals Way,,6/26/1956,,,
804,800 Admirals Way,,6/26/1956,,,
479,233 S 6th St,SH,,,3/10/1999,
480,233 S 6th St,SH,,,3/10/1999,
481,233 S 6th St,SH,,,3/10/1999,
482,233 S 6th St,SH,,,3/10/1999,
483,233 S 6th St,SH,,,3/10/1999,
484,233 S 6th St,SH,,,3/10/1999,
485,233 S 6th St,SH,,,3/10/1999,
486,233 S 6th St,SH,,,3/10/1999,
487,233 S 6th St,SH,,,3/10/1999,
488,233 S 6th St,SH,,,3/10/1999,
489,233 S 6th St,SH,,,3/10/1999,
490,233 S 6th St,SH,,,3/10/1999,
805,800 Admirals Way,,6/26/1956,,,
491,233 S 6th St,SH,,,3/10/1999,
492,233 S 6th St,SH,,,3/10/1999,
346,233 S 6th St,SH,,,3/10/1999,
347,233 S 6th St,SH,,,3/10/1999,
348,233 S 6th St,SH,,,3/10/1999,
349,233 S 6th St,SH,,,3/10/1999,
350,233 S 6th St,SH,,,3/10/1999,
351,233 S 6th St,SH,,,3/10/1999,
352,233 S 6th St,SH,,,3/10/1999,
353,233 S 6th St,SH,,,3/10/1999,
354,233 S 6th St,SH,,,3/10/1999,
355,233 S 6th St,SH,,,3/10/1999,
806,800 Admirals Way,,6/26/1956,,,
356,233 S 6th St,SH,,,3/10/1999,
357,233 S 6th St,SH,,,3/10/1999,
358,233 S 6th St,SH,,,3/10/1999,
359,233 S 6th St,SH,,,3/10/1999,
360,233 S 6th St,SH,,,3/10/1999,
361,233 S 6th St,SH,,,3/10/1999,
362,233 S 6th St,SH,,,3/10/1999,
363,233 S 6th St,SH,,,3/10/1999,
364,233 S 6th St,SH,,,3/10/1999,
365,233 S 6th St,SH,,,3/10/1999,
366,233 S 6th St,SH,,,3/10/1999,
367,233 S 6th St,SH,,,3/10/1999,
807,800 Admirals Way,,6/26/1956,,,
368,233 S 6th St,SH,,,3/10/1999,
369,233 S 6th St,SH,,,3/10/1999,
370,233 S 6th St,SH,,,3/10/1999,
371,233 S 6th St,SH,,,3/10/1999,
372,233 S 6th St,SH,,,3/10/1999,
373,233 S 6th St,SH,,,3/10/1999,
374,233 S 6th St,SH,,,3/10/1999,
375,233 S 6th St,SH,,,3/10/1999,
376,233 S 6th St,SH,,,3/10/1999,
377,233 S 6th St,SH,,,3/10/1999,
378,233 S 6th St,SH,,,3/10/1999,
379,233 S 6th St,SH,,,3/10/1999,
808,500 Admirals Way,,6/26/1956,,,
380,233 S 6th St,SH,,,3/10/1999,
381,233 S 6th St,SH,,,3/10/1999,
382,233 S 6th St,SH,,,3/10/1999,
383,233 S 6th St,SH,,,3/10/1999,
384,233 S 6th St,SH,,,3/10/1999,
385,233 S 6th St,SH,,,3/10/1999,
386,233 S 6th St,SH,,,3/10/1999,
387,233 S 6th St,SH,,,3/10/1999,
388,233 S 6th St,SH,,,3/10/1999,
389,233 S 6th St,SH,,,3/10/1999,
390,233 S 6th St,SH,,,3/10/1999,
391,233 S 6th St,SH,,,3/10/1999,
809,500 Admirals Way,,6/26/1956,,,
392,233 S 6th St,SH,,,3/10/1999,
393,233 S 6th St,SH,,,3/10/1999,
394,233 S 6th St,SH,,,3/10/1999,
395,233 S 6th St,SH,,,3/10/1999,
396,233 S 6th St,SH,,,3/10/1999,
397,233 S 6th St,SH,,,3/10/1999,
398,233 S 6th St,SH,,,3/10/1999,
399,233 S 6th St,SH,,,3/10/1999,
400,233 S 6th St,SH,,,3/10/1999,
401,233 S 6th St,SH,,,3/10/1999,
402,233 S 6th St,SH,,,3/10/1999,
403,233 S 6th St,SH,,,3/10/1999,
810,500 Admirals Way,,6/26/1956,,,
404,233 S 6th St,SH,,,3/10/1999,
405,233 S 6th St,SH,,,3/10/1999,
406,233 S 6th St,SH,,,3/10/1999,
407,233 S 6th St,SH,,,3/10/1999,
408,233 S 6th St,SH,,,3/10/1999,
409,233 S 6th St,SH,,,3/10/1999,
410,233 S 6th St,SH,,,3/10/1999,
411,233 S 6th St,SH,,,3/10/1999,
412,233 S 6th St,SH,,,3/10/1999,
413,233 S 6th St,SH,,,3/10/1999,
414,233 S 6th St,SH,,,3/10/1999,
415,233 S 6th St,SH,,,3/10/1999,
811,500 Admirals Way,,6/26/1956,,,
416,233 S 6th St,SH,,,3/10/1999,
417,233 S 6th St,SH,,,3/10/1999,
418,233 S 6th St,SH,,,3/10/1999,
419,233 S 6th St,SH,,,3/10/1999,
420,233 S 6th St,SH,,,3/10/1999,
421,233 S 6th St,SH,,,3/10/1999,
422,233 S 6th St,SH,,,3/10/1999,
423,233 S 6th St,SH,,,3/10/1999,
424,233 S 6th St,SH,,,3/10/1999,
425,233 S 6th St,SH,,,3/10/1999,
426,233 S 6th St,SH,,,3/10/1999,
427,233 S 6th St,SH,,,3/10/1999,
812,500 Admirals Way,,6/26/1956,,,
428,233 S 6th St,SH,,,3/10/1999,
429,233 S 6th St,SH,,,3/10/1999,
430,233 S 6th St,SH,,,3/10/1999,
431,233 S 6th St,SH,,,3/10/1999,
432,233 S 6th St,SH,,,3/10/1999,
433,233 S 6th St,SH,,,3/10/1999,
434,233 S 6th St,SH,,,3/10/1999,
435,233 S 6th St,SH,,,3/10/1999,
436,233 S 6th St,SH,,,3/10/1999,
437,233 S 6th St,SH,,,3/10/1999,
438,233 S 6th St,SH,,,3/10/1999,
439,233 S 6th St,SH,,,3/10/1999,
813,500 Admirals Way,,6/26/1956,,,
440,233 S 6th St,SH,,,3/10/1999,
441,233 S 6th St,SH,,,3/10/1999,
442,233 S 6th St,SH,,,3/10/1999,
443,233 S 6th St,SH,,,3/10/1999,
444,233 S 6th St,SH,,,3/10/1999,
445,233 S 6th St,SH,,,3/10/1999,
446,233 S 6th St,SH,,,3/10/1999,
447,233 S 6th St,SH,,,3/10/1999,
448,233 S 6th St,SH,,,3/10/1999,
449,233 S 6th St,SH,,,3/10/1999,
450,233 S 6th St,SH,,,3/10/1999,
451,233 S 6th St,SH,,,3/10/1999,
907,600 Commodore Ct,,6/26/1956,,,
452,233 S 6th St,SH,,,3/10/1999,
453,233 S 6th St,SH,,,3/10/1999,
454,233 S 6th St,SH,,,3/10/1999,
455,233 S 6th St,SH,,,3/10/1999,
456,233 S 6th St,SH,,,3/10/1999,
457,233 S 6th St,SH,,,3/10/1999,
458,233 S 6th St,SH,,,3/10/1999,
459,233 S 6th St,SH,,,3/10/1999,
460,233 S 6th St,SH,,,3/10/1999,
461,233 S 6th St,SH,,,3/10/1999,
462,233 S 6th St,SH,,,3/10/1999,
463,233 S 6th St,SH,,,3/10/1999,
908,600 Commodore Ct,,6/26/1956,,,
464,233 S 6th St,SH,,,3/10/1999,
465,233 S 6th St,SH,,,3/10/1999,
466,233 S 6th St,SH,,,3/10/1999,
467,233 S 6th St,SH,,,3/10/1999,
468,233 S 6th St,SH,,,3/10/1999,
469,233 S 6th St,SH,,,3/10/1999,
470,233 S 6th St,SH,,,3/10/1999,
471,233 S 6th St,SH,,,3/10/1999,
549,210 Locust St,SH,,,3/10/1999,
